epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,31.5802,1.10227,1.23384,1.03382,0.38832,0.50984,0.4396,0.25926,1.70279,2.40671,1.63089,0.000557,0.000557,0.000557
58,32.2117,0.98003,1.15056,1.01043,0.38801,0.51674,0.43968,0.26619,1.70545,2.37658,1.64432,0.000544625,0.000544625,0.000544625
59,32.7548,1.07052,1.47581,1.05556,0.36755,0.52083,0.45152,0.26852,1.74612,2.38823,1.70868,0.00053225,0.00053225,0.00053225
60,33.3486,1.00804,1.33604,0.99983,0.45041,0.51424,0.46498,0.27984,1.67488,2.2774,1.69994,0.000519875,0.000519875,0.000519875
61,33.9048,1.05591,1.13074,1.03065,0.45041,0.51424,0.46498,0.27984,1.67488,2.2774,1.69994,0.0005075,0.0005075,0.0005075
62,34.4995,0.92775,1.12174,0.96926,0.49646,0.49641,0.47205,0.26894,1.56556,2.28608,1.64039,0.000495125,0.000495125,0.000495125
63,35.0862,1.0855,1.29699,1.02736,0.50403,0.4908,0.45268,0.25151,1.60195,2.36892,1.66382,0.00048275,0.00048275,0.00048275
64,35.7308,0.98167,1.28743,0.99266,0.474,0.54449,0.44361,0.2513,1.67914,2.37609,1.75042,0.000470375,0.000470375,0.000470375
65,36.3257,0.95049,1.16265,1.02879,0.474,0.54449,0.44361,0.2513,1.67914,2.37609,1.75042,0.000458,0.000458,0.000458
66,36.8839,0.89232,1.15494,0.97503,0.48706,0.55235,0.43034,0.24527,1.71776,2.43147,1.79371,0.000445625,0.000445625,0.000445625
67,37.4539,1.03841,1.12085,0.95574,0.54474,0.43227,0.41284,0.23249,1.69899,2.54932,1.76648,0.00043325,0.00043325,0.00043325
68,38.0115,1.0101,1.18125,0.9419,0.52146,0.4291,0.42698,0.24327,1.75483,2.55846,1.77002,0.000420875,0.000420875,0.000420875
69,38.5677,0.8777,1.09877,0.91343,0.52146,0.4291,0.42698,0.24327,1.75483,2.55846,1.77002,0.0004085,0.0004085,0.0004085
70,39.1347,0.9333,1.09646,0.94491,0.46138,0.56998,0.45208,0.23494,1.85477,2.5246,1.83411,0.000396125,0.000396125,0.000396125
71,39.702,0.86602,1.06112,0.90399,0.44997,0.55062,0.49245,0.24912,1.86543,2.49033,1.85126,0.00038375,0.00038375,0.00038375
72,40.3694,1.03208,1.15095,1.04468,0.5066,0.48094,0.48476,0.24523,1.85619,2.54107,1.81577,0.000371375,0.000371375,0.000371375
73,41.0301,0.94534,1.05686,0.98665,0.5066,0.48094,0.48476,0.24523,1.85619,2.54107,1.81577,0.000359,0.000359,0.000359
74,41.6466,0.94661,1.10025,1.00244,0.49386,0.48976,0.48997,0.27796,1.6981,2.59008,1.67244,0.000346625,0.000346625,0.000346625
75,42.1944,0.94484,1.0833,0.95694,0.46669,0.54531,0.48997,0.30819,1.52973,2.54471,1.51907,0.00033425,0.00033425,0.00033425
76,42.802,0.89062,1.09985,0.96147,0.45426,0.52502,0.49127,0.306,1.4771,2.51704,1.47636,0.000321875,0.000321875,0.000321875
77,43.3673,0.91316,1.13717,0.95135,0.45426,0.52502,0.49127,0.306,1.4771,2.51704,1.47636,0.0003095,0.0003095,0.0003095
78,43.9206,0.86538,1.02016,0.91944,0.40593,0.63389,0.49281,0.29684,1.50275,2.50784,1.49847,0.000297125,0.000297125,0.000297125
79,44.508,0.86851,1.1128,0.95146,0.40513,0.65259,0.49406,0.27227,1.57674,2.50486,1.5257,0.00028475,0.00028475,0.00028475
80,45.0854,0.87355,1.07215,0.97801,0.39753,0.65232,0.49509,0.26136,1.68278,2.57457,1.56832,0.000272375,0.000272375,0.000272375
81,45.6175,0.79073,1.03596,0.93437,0.39753,0.65232,0.49509,0.26136,1.68278,2.57457,1.56832,0.00026,0.00026,0.00026
82,46.2909,0.82341,0.95112,0.91428,0.45911,0.46037,0.48223,0.2603,1.70457,2.62282,1.58191,0.000247625,0.000247625,0.000247625
83,46.8838,0.80937,0.92184,0.91921,0.39154,0.55698,0.47896,0.26454,1.65057,2.62869,1.53702,0.00023525,0.00023525,0.00023525
84,47.5442,0.8538,1.04664,0.9219,0.38329,0.55478,0.47969,0.26453,1.62979,2.63352,1.51655,0.000222875,0.000222875,0.000222875
85,48.0989,0.85184,0.9401,0.93957,0.38329,0.55478,0.47969,0.26453,1.62979,2.63352,1.51655,0.0002105,0.0002105,0.0002105
86,48.7592,0.94314,1.17906,1.00132,0.38375,0.54941,0.47896,0.26266,1.60192,2.61783,1.50043,0.000198125,0.000198125,0.000198125
87,49.3927,0.86702,0.97588,0.95114,0.37263,0.52989,0.47897,0.26133,1.63254,2.59594,1.51659,0.00018575,0.00018575,0.00018575
88,49.961,0.9048,1.13642,0.95971,0.40928,0.45642,0.47758,0.26359,1.65959,2.57172,1.53284,0.000173375,0.000173375,0.000173375
89,50.5501,0.69179,0.98155,0.90199,0.40928,0.45642,0.47758,0.26359,1.65959,2.57172,1.53284,0.000161,0.000161,0.000161
90,51.1691,0.71392,0.96283,0.89545,0.41395,0.4717,0.41457,0.22736,1.67212,2.55956,1.53876,0.000148625,0.000148625,0.000148625
91,52.8936,0.68253,1.11178,0.8598,0.413,0.48768,0.43803,0.23469,1.6962,2.55282,1.55844,0.00013625,0.00013625,0.00013625
92,53.4915,0.7568,1.0881,0.96236,0.46311,0.43993,0.4431,0.24951,1.66789,2.49738,1.55009,0.000123875,0.000123875,0.000123875
93,54.1123,0.75536,1.0901,0.95054,0.46311,0.43993,0.4431,0.24951,1.66789,2.49738,1.55009,0.0001115,0.0001115,0.0001115
94,54.764,0.76721,1.13667,0.93007,0.47541,0.43482,0.44214,0.24898,1.64727,2.46903,1.53326,9.9125e-05,9.9125e-05,9.9125e-05
95,55.4418,0.71313,1.03009,0.95184,0.41913,0.49809,0.44135,0.25184,1.59822,2.45581,1.5184,8.675e-05,8.675e-05,8.675e-05
96,56.2059,0.68256,1.10219,0.91353,0.42025,0.50147,0.43985,0.24864,1.59022,2.43341,1.51252,7.4375e-05,7.4375e-05,7.4375e-05
97,56.7798,0.61812,0.9581,0.85726,0.42025,0.50147,0.43985,0.24864,1.59022,2.43341,1.51252,6.2e-05,6.2e-05,6.2e-05
98,57.4247,0.71191,1.02389,0.90637,0.42218,0.5038,0.44096,0.2485,1.59182,2.40864,1.51623,4.9625e-05,4.9625e-05,4.9625e-05
99,58.1401,0.70184,0.97747,0.92923,0.42491,0.50757,0.43986,0.24843,1.57105,2.40825,1.51178,3.725e-05,3.725e-05,3.725e-05
100,58.6861,0.71517,1.13528,0.91244,0.42763,0.50871,0.43956,0.24814,1.5649,2.39776,1.50829,2.4875e-05,2.4875e-05,2.4875e-05
